transliteration,translation,augmentation
um-ma a-šur-ma-lik-ma a-na a-al-DU₁₀ ù en-um-a-šur qí-bi₄-ma 7 GÍN KÙ.BABBAR ku-nu-ki-a a-šur-ta-ak-lá-ku na-áš-a-ku-nu-tí a-ma-kam ší-it-ri ša pu-ki-im dam-qú-tim wa-at-ru-tim ša-ma-ma ku-nu-kà-ma a-na a-šur-ták-lá-ku dí-na-ma šu-ma e-eb-ru a-tù-nu iš-tí pá-ni-im-ma pì-iq-da-ma ṭù-ur-da-ni-šu-nu a-ḫu-ú-a-tù-nu iḫ-da-ma ú a-na-ku a-wa-at-ku-nu a-ša-me a-ma-kam ṣú-ḫa-ru-um lá i-na-ma-ar ar-ḫi-iš ṭù-ur-da-ni-šu-ma a-wi-lam lu-ṭí-ba-am a-ḫa-ma 0.5 GÍN KÙ.BABBAR a-na Ì.GIŠ sà-ar-dim na-ší a-na a-al-DU₁₀ qí-bi₄-ma a-dí-i KÙ.BABBAR ša e-lá-lí-ni-ú-ma-an ù DAM a-ḫi-kà i-na e-ra-áb a-wi-il₅-tim x-bi₄-a,"Thus Aššur-mālik, say to Āl-ṭāb and Ennum-Aššur: Aššur-taklāku is bringing you 7 shekels of silver under my seal. Buy there scarfs? of eave of extremely good quality, seal them and hand them over to Aššur-taklāku and if you are really friends convey them to me with the first caravan. Heed my request, my brothers, and I too can listen to what you say! The boy must not be seen there, send him quickly here so that I can please the gentleman. Separately he has with him 0.5 shekel of silver for (buying) olive oil"". Say to Āl-ṭab: ""As for the silver of Elal / niuman and your brother's wife, when the lady arrives ... ... ... ... ... ..."".""",none
ú-ma a-šur-ma-lik-ma a-na a-al-DU₁₀ ù en-um-a-šur qí-bi₄-ma 7 GÍN KÙ.BABBAR ku-nu-ki-a a-šur-ta-ak-lá-ku na-áš-a-ku-nu-tí a-ma-kam ší-it-ri ša pu-ki-im dam-qú-tim wa-at-ru-tim ša-ma-ma ku-nu-kà-ma a-na a-šur-ták-lá-ku dí-na-ma šu-ma e-eb-ru a-tù-nu iš-tí pá-ni-im-ma pì-iq-da-ma ṭù-ur-da-ni-šu-nu a-ḫu-ú-a-tù-nu iḫ-da-ma ú a-na-ku a-wa-at-ku-nu a-ša-me a-ma-kam ṣú-ḫa-ru-um lá i-na-ma-ar ar-ḫi-iš ṭù-ur-da-ni-šu-ma a-wi-lam lu-ṭí-ba-am a-ḫa-ma 0.5 GÍN KÙ.BABBAR a-na Ì.GIŠ sà-ar-dim na-ší a-na a-al-DU₁₀ qí-bi₄-ma a-dí-i KÙ.BABBAR ša e-lá-lí-ni-ú-ma-an ù DAM a-ḫi-kà i-na e-ra-áb a-wi-il₅-tim x-bi₄-a,"Thus Aššur-mālik, say to Āl-ṭāb and Ennum-Aššur: Aššur-taklāku is bringing you 7 shekels of silver under my seal. Buy there scarfs? of eave of extremely good quality, seal them and hand them over to Aššur-taklāku and if you are really friends convey them to me with the first caravan. Heed my request, my brothers, and I too can listen to what you say! The boy must not be seen there, send him quickly here so that I can please the gentleman. Separately he has with him 0.5 shekel of silver for (buying) olive oil"". Say to Āl-ṭab: ""As for the silver of Elal / niuman and your brother's wife, when the lady arrives ... ... ... ... ... ..."".""",lexicon_variant
u₄-ma a-šur-ma-lik-ma a-na a-al-DU₁₀ ù en-um-a-šur qí-bi₄-ma 7 GÍN KÙ.BABBAR ku-nu-ki-a a-šur-ta-ak-lá-ku na-áš-a-ku-nu-tí a-ma-kam ší-it-ri ša pu-ki-im dam-qú-tim wa-at-ru-tim ša-ma-ma ku-nu-kà-ma a-na a-šur-ták-lá-ku dí-na-ma šu-ma e-eb-ru a-tù-nu iš-tí pá-ni-im-ma pì-iq-da-ma ṭù-ur-da-ni-šu-nu a-ḫu-ú-a-tù-nu iḫ-da-ma ú a-na-ku a-wa-at-ku-nu a-ša-me a-ma-kam ṣú-ḫa-ru-um lá i-na-ma-ar ar-ḫi-iš ṭù-ur-da-ni-šu-ma a-wi-lam lu-ṭí-ba-am a-ḫa-ma 0.5 GÍN KÙ.BABBAR a-na Ì.GIŠ sà-ar-dim na-ší a-na a-al-DU₁₀ qí-bi₄-ma a-dí-i KÙ.BABBAR ša e-lá-lí-ni-ú-ma-an ù DAM a-ḫi-kà i-na e-ra-áb a-wi-il₅-tim x-bi₄-a,"Thus Aššur-mālik, say to Āl-ṭāb and Ennum-Aššur: Aššur-taklāku is bringing you 7 shekels of silver under my seal. Buy there scarfs? of eave of extremely good quality, seal them and hand them over to Aššur-taklāku and if you are really friends convey them to me with the first caravan. Heed my request, my brothers, and I too can listen to what you say! The boy must not be seen there, send him quickly here so that I can please the gentleman. Separately he has with him 0.5 shekel of silver for (buying) olive oil"". Say to Āl-ṭab: ""As for the silver of Elal / niuman and your brother's wife, when the lady arrives ... ... ... ... ... ..."".""",lexicon_variant
a-na (d)MAR.TU-ba-ni … e-nu-um-bé-lim LUGAL-(d)IM ù pá-na-kà qí-bi-ma um-ma ša-lim-a-šùr-ma 12 ma-na KÙ.BABBAR ṣa-ru-pá-am ni-is-ḫa-sú DIRI ša-du-a-sú ša-bu ša a-na na-ru-uq a-šùr-bé-el-a-wa-tim ma-áš-qá-al-tám pá-ni-tám ḫa-bu-lá-ku-ni ku-nu-ki-a pá-na-kà ù a-šùr-GAL DUMU ni-dí-ba-ni na-áš-ú-ni-ku-nu-tí ù ṭup-pí ša 12 ma-na KÙ.BABBAR ša ḫu-bu-li-a ša a-na 5 ša-na-tim a-ša-qú-lu-šu-nu-ma na-áš-ú-ni-ku-nu-tí a-na-kam IGI 3 DUMU um-me-a-ni KÙ.BABBAR ù ṭup-pá-am áp-qí-sú-nu-tí a-dí 20 ma-na 10 GÍN KÙ.BABBAR ša wa-aḫ-šu-ša-na ša iš-tí šu-nu-nu ù šu-ku-bi-im i-ba-ší-ú KÙ.BABBAR ku-nu-ki-a lu-ub-lu-ni-ku-nu-tí-ma ù ṭup-pá-am pá-ni-am ša 24 ma-na KÙ.BABBAR li-dí-nu-ni-ku-nu-tí-ma i-na li-bi₄ ṭup-pí-a šu-uk-na-šu KÙ.BABBAR ù ṭup-pá-am ša pá-na-kà ù a-šùr-GAL na-áš-ú-ni-ku-nu-tí-ni KÙ.BABBAR šu-uq-lá ù ṭup-pá-am ša ḫu-bu-li-a a-na ša ki-ma šu-ku-bi₄-im dí-na-a šu-ma u₄-mu-a a-ḫu-ru,"To Amurrum-bāni, (...), Ennam-Bēlum, Šar-Adad and Panaka from Šalim-Aššur: Panaka and Aššur-rabi son of Nīde-bāni are bringing you 12 minas of refined silver - its import duty added, its transport tariff paid, under my seal, that I owe on Aššur-bēl-awātim's joint-stock capital, for the first instalment. They also bring my tablet concerning 12 minas of silver from my debt, which I am to pay to them in 5 years. Here I entrusted the silver and the tablet to them with 3 affiliated traders as witnesses. As to 20 minas 10 shekels of silver from Wahšušana that is with Šu-Nūnu and Šu-Kūbum, let them bring you the silver under my seal and then let them give you the old tablet concerning 24 minas of silver and place it with my tablets. As to the silver and the tablet that Panaka and Aššur-rabi are bringing to you, pay the silver and give the tablet concerning my debt to Šu-Kūbum's representatives. If my term is not yet up, note it in your memorandum. Entrust the silver from Wahšušana to the lady and the girl, and let it remain in my house.",none
an-na (d)MAR.TU-ba-ni … e-nu-um-bé-lim LUGAL-(d)IM ù pá-na-kà qí-bi-ma um-ma ša-lim-a-šùr-ma 12 ma-na KÙ.BABBAR ṣa-ru-pá-am ni-is-ḫa-sú DIRI ša-du-a-sú ša-bu ša a-na na-ru-uq a-šùr-bé-el-a-wa-tim ma-áš-qá-al-tám pá-ni-tám ḫa-bu-lá-ku-ni ku-nu-ki-a pá-na-kà ù a-šùr-GAL DUMU ni-dí-ba-ni na-áš-ú-ni-ku-nu-tí ù ṭup-pí ša 12 ma-na KÙ.BABBAR ša ḫu-bu-li-a ša a-na 5 ša-na-tim a-ša-qú-lu-šu-nu-ma na-áš-ú-ni-ku-nu-tí a-na-kam IGI 3 DUMU um-me-a-ni KÙ.BABBAR ù ṭup-pá-am áp-qí-sú-nu-tí a-dí 20 ma-na 10 GÍN KÙ.BABBAR ša wa-aḫ-šu-ša-na ša iš-tí šu-nu-nu ù šu-ku-bi-im i-ba-ší-ú KÙ.BABBAR ku-nu-ki-a lu-ub-lu-ni-ku-nu-tí-ma ù ṭup-pá-am pá-ni-am ša 24 ma-na KÙ.BABBAR li-dí-nu-ni-ku-nu-tí-ma i-na li-bi₄ ṭup-pí-a šu-uk-na-šu KÙ.BABBAR ù ṭup-pá-am ša pá-na-kà ù a-šùr-GAL na-áš-ú-ni-ku-nu-tí-ni KÙ.BABBAR šu-uq-lá ù ṭup-pá-am ša ḫu-bu-li-a a-na ša ki-ma šu-ku-bi₄-im dí-na-a šu-ma u₄-mu-a a-ḫu-ru,"To Amurrum-bāni, (...), Ennam-Bēlum, Šar-Adad and Panaka from Šalim-Aššur: Panaka and Aššur-rabi son of Nīde-bāni are bringing you 12 minas of refined silver - its import duty added, its transport tariff paid, under my seal, that I owe on Aššur-bēl-awātim's joint-stock capital, for the first instalment. They also bring my tablet concerning 12 minas of silver from my debt, which I am to pay to them in 5 years. Here I entrusted the silver and the tablet to them with 3 affiliated traders as witnesses. As to 20 minas 10 shekels of silver from Wahšušana that is with Šu-Nūnu and Šu-Kūbum, let them bring you the silver under my seal and then let them give you the old tablet concerning 24 minas of silver and place it with my tablets. As to the silver and the tablet that Panaka and Aššur-rabi are bringing to you, pay the silver and give the tablet concerning my debt to Šu-Kūbum's representatives. If my term is not yet up, note it in your memorandum. Entrust the silver from Wahšušana to the lady and the girl, and let it remain in my house.",lexicon_variant
a-na ba-ni … e-nu-um-bé-lim LUGAL-(d)IM ù pá-na-kà qí-bi-ma um-ma ša-lim-a-šùr-ma 12 ma-na KÙ.BABBAR ṣa-ru-pá-am ni-is-ḫa-sú DIRI ša-du-a-sú ša-bu ša a-na na-ru-uq a-šùr-bé-el-a-wa-tim ma-áš-qá-al-tám pá-ni-tám ḫa-bu-lá-ku-ni ku-nu-ki-a pá-na-kà ù a-šùr-GAL DUMU ni-dí-ba-ni na-áš-ú-ni-ku-nu-tí ù ṭup-pí ša 12 ma-na KÙ.BABBAR ša ḫu-bu-li-a ša a-na 5 ša-na-tim a-ša-qú-lu-šu-nu-ma na-áš-ú-ni-ku-nu-tí a-na-kam IGI 3 DUMU um-me-a-ni KÙ.BABBAR ù ṭup-pá-am áp-qí-sú-nu-tí a-dí 20 ma-na 10 GÍN KÙ.BABBAR ša wa-aḫ-šu-ša-na ša iš-tí šu-nu-nu ù šu-ku-bi-im i-ba-ší-ú KÙ.BABBAR ku-nu-ki-a lu-ub-lu-ni-ku-nu-tí-ma ù ṭup-pá-am pá-ni-am ša 24 ma-na KÙ.BABBAR li-dí-nu-ni-ku-nu-tí-ma i-na li-bi₄ ṭup-pí-a šu-uk-na-šu KÙ.BABBAR ù ṭup-pá-am ša pá-na-kà ù a-šùr-GAL na-áš-ú-ni-ku-nu-tí-ni KÙ.BABBAR šu-uq-lá ù ṭup-pá-am ša ḫu-bu-li-a a-na ša ki-ma šu-ku-bi₄-im dí-na-a šu-ma u₄-mu-a a-ḫu-ru,"To Amurrum-bāni, (...), Ennam-Bēlum, Šar-Adad and Panaka from Šalim-Aššur: Panaka and Aššur-rabi son of Nīde-bāni are bringing you 12 minas of refined silver - its import duty added, its transport tariff paid, under my seal, that I owe on Aššur-bēl-awātim's joint-stock capital, for the first instalment. They also bring my tablet concerning 12 minas of silver from my debt, which I am to pay to them in 5 years. Here I entrusted the silver and the tablet to them with 3 affiliated traders as witnesses. As to 20 minas 10 shekels of silver from Wahšušana that is with Šu-Nūnu and Šu-Kūbum, let them bring you the silver under my seal and then let them give you the old tablet concerning 24 minas of silver and place it with my tablets. As to the silver and the tablet that Panaka and Aššur-rabi are bringing to you, pay the silver and give the tablet concerning my debt to Šu-Kūbum's representatives. If my term is not yet up, note it in your memorandum. Entrust the silver from Wahšušana to the lady and the girl, and let it remain in my house.",lexicon_variant
PUZUR₄-a-šur DUMU i-ku-pí-a en-um-a-šur DUMU i-dí-sú-en₆ ù a-ḫu-šu i-dí-IŠTAR DUMU aḫ-ša-lim IŠTAR-ba-ni ma-ṣí-ì-lí en-nam-a-šur DUMU a-šur-dan šu-ma-a-bi₄-a ša ki-ma DUMU-e ku-ni-lim i pu-ùḫ-ri-šu-nu gám-ram ša bi₄-ki-tí-šu-nu ù ku-sí-im ša IŠTAR-lá-ma-sí i KÙ.BABBAR ša i É DAM e-lá-ma ib-ší-ú ig-mu-ru ḫu-ša-li DUMU a-šur-dan ù šu-ma-a-bi₄-a ik-nu-ku,"Puzur-Aššur, son of Ikūn-pīya, Ennam-Aššur, son of Iddin-Suen, and his brother, Iddin-Ištar, son of Ah-šalim, Ištar-bāni, Maṣi-ilī Ennam-Aššur, son of Aššur-dān, Šumi-abiya - representing the sons of Kūn-ilum - collectively paid <the expenses> of bewailing them and of Ištar-lamassī's chair from the silver that was in the house of Elamma's wife. The son of Aššur-dān and Šumi-abiya sealed the pouches.",none
PUZUR₄-a-šùr DUMU i-ku-pí-a en-um-a-šur DUMU i-dí-sú-en₆ ù a-ḫu-šu i-dí-IŠTAR DUMU aḫ-ša-lim IŠTAR-ba-ni ma-ṣí-ì-lí en-nam-a-šur DUMU a-šur-dan šu-ma-a-bi₄-a ša ki-ma DUMU-e ku-ni-lim i pu-ùḫ-ri-šu-nu gám-ram ša bi₄-ki-tí-šu-nu ù ku-sí-im ša IŠTAR-lá-ma-sí i KÙ.BABBAR ša i É DAM e-lá-ma ib-ší-ú ig-mu-ru ḫu-ša-li DUMU a-šur-dan ù šu-ma-a-bi₄-a ik-nu-ku,"Puzur-Aššur, son of Ikūn-pīya, Ennam-Aššur, son of Iddin-Suen, and his brother, Iddin-Ištar, son of Ah-šalim, Ištar-bāni, Maṣi-ilī Ennam-Aššur, son of Aššur-dān, Šumi-abiya - representing the sons of Kūn-ilum - collectively paid <the expenses> of bewailing them and of Ištar-lamassī's chair from the silver that was in the house of Elamma's wife. The son of Aššur-dān and Šumi-abiya sealed the pouches.",lexicon_variant
PÚZUR-a-šur DUMU i-ku-pí-a en-um-a-šur DUMU i-dí-sú-en₆ ù a-ḫu-šu i-dí-IŠTAR DUMU aḫ-ša-lim IŠTAR-ba-ni ma-ṣí-ì-lí en-nam-a-šur DUMU a-šur-dan šu-ma-a-bi₄-a ša ki-ma DUMU-e ku-ni-lim i pu-ùḫ-ri-šu-nu gám-ram ša bi₄-ki-tí-šu-nu ù ku-sí-im ša IŠTAR-lá-ma-sí i KÙ.BABBAR ša i É DAM e-lá-ma ib-ší-ú ig-mu-ru ḫu-ša-li DUMU a-šur-dan ù šu-ma-a-bi₄-a ik-nu-ku,"Puzur-Aššur, son of Ikūn-pīya, Ennam-Aššur, son of Iddin-Suen, and his brother, Iddin-Ištar, son of Ah-šalim, Ištar-bāni, Maṣi-ilī Ennam-Aššur, son of Aššur-dān, Šumi-abiya - representing the sons of Kūn-ilum - collectively paid <the expenses> of bewailing them and of Ištar-lamassī's chair from the silver that was in the house of Elamma's wife. The son of Aššur-dān and Šumi-abiya sealed the pouches.",lexicon_variant
um-ma i-ku-pì-a-ma a-na ib-ni-lí be-kà-a ú en-um-a-šur qí-bi₄-ma a-na en-um-a-šur qí-bi₄-ma 1.66666 ma-na 6 GÍN KÙ.BABBAR ḫa-bu-lá-ku-um ša 1 ma-na 7 GÍN KÙ.BABBAR ú 9 GÍN a-ḫa-ma ša-áp-ra-tim e-zi-ba-kum 8 GÍN KÙ.BABBAR lu da-at a-bu-a lu gám-ru-um ša a-na-kam ŠU.NÍGIN 1.3333300000000001 ma-na 4 GÍN KÙ.BABBAR tal-qé 0.33333 ma-na 2 GÍN KÙ.BABBAR ší-tí KÙ.BABBAR-pì-kà 2.5 ma-na KÙ.BABBAR ša ḫa-bu-lá-ku-ni iš-tí a-šur-ba-ni ú-šé-ba-lá-kum 1 GÚ AN.NA e-zi-ba-kum šu-ma ší-mu-um lá ša-im ší-ma-am ša ba-lá-ṭí-a lu (TÚG)tí-sà-pì ša ḫa-ḫi-im lu sà-áp-tí-ni-ma ša tal-ḫa-at a-ḫu-a a-tù-nu i ša-ḫa-at en-um-a-šur i-zi-za-ma ša-ma-nim kà-ni-kà-ma iš-tí a-šur-ba-ni šé-bi₄-lá-nim a-na en-um-a-šur qí-bi₄-ma šu-ma na-áš-pé-er-tum iš-tù a-lim ú-ub-lu-nim ša-il₅-ma šé-bi₄-lam a ma-lá na-áš-pè-er-tí-kà i-ri-šu-um i-na dur₄-ḫu-mì-it u₄-ma-am ú-ra-am a-da-gal i-lá-kam-ma a-ṣa-ba-sú,"From Ikūn-pīya to Ibnī-ilī, Bekaya and Ennam-Aššur; specifically to Ennam-Aššur: I owe you 1.6666 mina 6 shekels of silver. I left surety worth 1 mina 7 shekels of silver plus 9 shekels with you. 8 shekels of silver was either Abuwa's fees or expenses here. In all you have received 1 mina 24 shekels of silver. 22 shekels of silver was the rest of your silver; 2.5 minas of silver that I owe you I shall send with Aššur-bāni. I left 1 talent of copper with you. If the purchase has not been carried out, then make purchases profitable for me, either -textiles from hahhum or  from Talhat - my dear brothers, assist Ennam-Aššur in this, seal it and send it to me with Aššur-bāni. To Ennam-Aššur: Ask whether they have brought a missive from the City and send it. In accordance with your missive I expect Erišum in Durhumit today or tomorrow. When he comes, I shall seize him. ",none
ú-ma i-ku-pì-a-ma a-na ib-ni-lí be-kà-a ú en-um-a-šur qí-bi₄-ma a-na en-um-a-šur qí-bi₄-ma 1.66666 ma-na 6 GÍN KÙ.BABBAR ḫa-bu-lá-ku-um ša 1 ma-na 7 GÍN KÙ.BABBAR ú 9 GÍN a-ḫa-ma ša-áp-ra-tim e-zi-ba-kum 8 GÍN KÙ.BABBAR lu da-at a-bu-a lu gám-ru-um ša a-na-kam ŠU.NÍGIN 1.3333300000000001 ma-na 4 GÍN KÙ.BABBAR tal-qé 0.33333 ma-na 2 GÍN KÙ.BABBAR ší-tí KÙ.BABBAR-pì-kà 2.5 ma-na KÙ.BABBAR ša ḫa-bu-lá-ku-ni iš-tí a-šur-ba-ni ú-šé-ba-lá-kum 1 GÚ AN.NA e-zi-ba-kum šu-ma ší-mu-um lá ša-im ší-ma-am ša ba-lá-ṭí-a lu (TÚG)tí-sà-pì ša ḫa-ḫi-im lu sà-áp-tí-ni-ma ša tal-ḫa-at a-ḫu-a a-tù-nu i ša-ḫa-at en-um-a-šur i-zi-za-ma ša-ma-nim kà-ni-kà-ma iš-tí a-šur-ba-ni šé-bi₄-lá-nim a-na en-um-a-šur qí-bi₄-ma šu-ma na-áš-pé-er-tum iš-tù a-lim ú-ub-lu-nim ša-il₅-ma šé-bi₄-lam a ma-lá na-áš-pè-er-tí-kà i-ri-šu-um i-na dur₄-ḫu-mì-it u₄-ma-am ú-ra-am a-da-gal i-lá-kam-ma a-ṣa-ba-sú,"From Ikūn-pīya to Ibnī-ilī, Bekaya and Ennam-Aššur; specifically to Ennam-Aššur: I owe you 1.6666 mina 6 shekels of silver. I left surety worth 1 mina 7 shekels of silver plus 9 shekels with you. 8 shekels of silver was either Abuwa's fees or expenses here. In all you have received 1 mina 24 shekels of silver. 22 shekels of silver was the rest of your silver; 2.5 minas of silver that I owe you I shall send with Aššur-bāni. I left 1 talent of copper with you. If the purchase has not been carried out, then make purchases profitable for me, either -textiles from hahhum or  from Talhat - my dear brothers, assist Ennam-Aššur in this, seal it and send it to me with Aššur-bāni. To Ennam-Aššur: Ask whether they have brought a missive from the City and send it. In accordance with your missive I expect Erišum in Durhumit today or tomorrow. When he comes, I shall seize him. ",lexicon_variant
u₄-ma i-ku-pì-a-ma a-na ib-ni-lí be-kà-a ú en-um-a-šur qí-bi₄-ma a-na en-um-a-šur qí-bi₄-ma 1.66666 ma-na 6 GÍN KÙ.BABBAR ḫa-bu-lá-ku-um ša 1 ma-na 7 GÍN KÙ.BABBAR ú 9 GÍN a-ḫa-ma ša-áp-ra-tim e-zi-ba-kum 8 GÍN KÙ.BABBAR lu da-at a-bu-a lu gám-ru-um ša a-na-kam ŠU.NÍGIN 1.3333300000000001 ma-na 4 GÍN KÙ.BABBAR tal-qé 0.33333 ma-na 2 GÍN KÙ.BABBAR ší-tí KÙ.BABBAR-pì-kà 2.5 ma-na KÙ.BABBAR ša ḫa-bu-lá-ku-ni iš-tí a-šur-ba-ni ú-šé-ba-lá-kum 1 GÚ AN.NA e-zi-ba-kum šu-ma ší-mu-um lá ša-im ší-ma-am ša ba-lá-ṭí-a lu (TÚG)tí-sà-pì ša ḫa-ḫi-im lu sà-áp-tí-ni-ma ša tal-ḫa-at a-ḫu-a a-tù-nu i ša-ḫa-at en-um-a-šur i-zi-za-ma ša-ma-nim kà-ni-kà-ma iš-tí a-šur-ba-ni šé-bi₄-lá-nim a-na en-um-a-šur qí-bi₄-ma šu-ma na-áš-pé-er-tum iš-tù a-lim ú-ub-lu-nim ša-il₅-ma šé-bi₄-lam a ma-lá na-áš-pè-er-tí-kà i-ri-šu-um i-na dur₄-ḫu-mì-it u₄-ma-am ú-ra-am a-da-gal i-lá-kam-ma a-ṣa-ba-sú,"From Ikūn-pīya to Ibnī-ilī, Bekaya and Ennam-Aššur; specifically to Ennam-Aššur: I owe you 1.6666 mina 6 shekels of silver. I left surety worth 1 mina 7 shekels of silver plus 9 shekels with you. 8 shekels of silver was either Abuwa's fees or expenses here. In all you have received 1 mina 24 shekels of silver. 22 shekels of silver was the rest of your silver; 2.5 minas of silver that I owe you I shall send with Aššur-bāni. I left 1 talent of copper with you. If the purchase has not been carried out, then make purchases profitable for me, either -textiles from hahhum or  from Talhat - my dear brothers, assist Ennam-Aššur in this, seal it and send it to me with Aššur-bāni. To Ennam-Aššur: Ask whether they have brought a missive from the City and send it. In accordance with your missive I expect Erišum in Durhumit today or tomorrow. When he comes, I shall seize him. ",lexicon_variant
a-na i-ku-pí-a li-bi-IŠTAR a-lá-ḫi-im ù a-šur-ma-lik a-na li-bi-IŠTAR qí-bi-ma um-ma PUZUR₄-a-na-ma 3 ma-na KÙ.BABBAR ni-is-ḫa-sú DIRI ša-du-a-sú ša-bu ša DAM.GÀR-ri-im a-dí-na-kum i-na a-wa-tí-ni ší-a-ma-at a-lim(ki) lu 1 ma-na-um 0.66666 ma-na lu 1 ma-na-um 0.5 ma-na a-na DAM.GÀR-ri-im ta-da-an ù a-ta 4 ma-na KÙ.BABBAR ni-is-ḫa-sú DIRI ša-du-a-sú ša-bu i-a-tí ki-ma DAM.GÀR ta-da-nam-ma ù a-na-ku DAM.GÀR-ru-um i-na e-la-i-a-ma iš-tù a-lim(ki) a-da-na-kum a-ḫi a-ta KÙ.BABBAR ù ší-a-ma-tim KÙ.BABBAR ma-la ta-na-dí-ú a-na ša ki-ma i-a-tí dí-in ù a-ta 4 ma-na KÙ.BABBAR ni-is-ḫa-sú DIRI ša-du-a-sú ša-bu šé-bi₄-lam-ma KÙ.BABBAR ma-la a-ta ta-da-na-ni ù a-na-ku i-na e-lá-i-a ki-am la-dí-na-kum a-na ša ki-ma i-a-tí qí-bi-ma šu-ma ší-ma-am i-da-na-ku-nu-tí la ta-ma-ḫa-ra-šu ù tí-ir-ta-ku-nu li-li-kam,"To Ikūn-pīya, Libbi-Ištar, Ali-ahum and Aššur-malik; specifically to Libbi-Ištar from Puzur-Anna: I gave you 3 minas of silver, its import duty added, its transport tariff paid for, belonging to a merchant. According to our agreement you will give from the purchase in the City either 0.6666 mina or 0.5 mina per mina to the merchant. Then, you will personally give 4 minas of silver, its import duty added, its transport tariff paid for, to me, on behalf of the merchant, and then I shall personally be the merchant; when I come up (to Anatolia) from the City I shall give it to you. My dear brother, give whatever silver and purchases you will deposit to my representatives. Also, you must personally send me 4 minas of silver, its import duty added, its transport tariff paid for, and whatever silver you give to me I shall personally give to you in this way when I come up. To my representatives: If he gives you purchased goods, do not receive them but send me word.",none
an-na i-ku-pí-a li-bi-IŠTAR a-lá-ḫi-im ù a-šur-ma-lik a-na li-bi-IŠTAR qí-bi-ma um-ma PUZUR₄-a-na-ma 3 ma-na KÙ.BABBAR ni-is-ḫa-sú DIRI ša-du-a-sú ša-bu ša DAM.GÀR-ri-im a-dí-na-kum i-na a-wa-tí-ni ší-a-ma-at a-lim(ki) lu 1 ma-na-um 0.66666 ma-na lu 1 ma-na-um 0.5 ma-na a-na DAM.GÀR-ri-im ta-da-an ù a-ta 4 ma-na KÙ.BABBAR ni-is-ḫa-sú DIRI ša-du-a-sú ša-bu i-a-tí ki-ma DAM.GÀR ta-da-nam-ma ù a-na-ku DAM.GÀR-ru-um i-na e-la-i-a-ma iš-tù a-lim(ki) a-da-na-kum a-ḫi a-ta KÙ.BABBAR ù ší-a-ma-tim KÙ.BABBAR ma-la ta-na-dí-ú a-na ša ki-ma i-a-tí dí-in ù a-ta 4 ma-na KÙ.BABBAR ni-is-ḫa-sú DIRI ša-du-a-sú ša-bu šé-bi₄-lam-ma KÙ.BABBAR ma-la a-ta ta-da-na-ni ù a-na-ku i-na e-lá-i-a ki-am la-dí-na-kum a-na ša ki-ma i-a-tí qí-bi-ma šu-ma ší-ma-am i-da-na-ku-nu-tí la ta-ma-ḫa-ra-šu ù tí-ir-ta-ku-nu li-li-kam,"To Ikūn-pīya, Libbi-Ištar, Ali-ahum and Aššur-malik; specifically to Libbi-Ištar from Puzur-Anna: I gave you 3 minas of silver, its import duty added, its transport tariff paid for, belonging to a merchant. According to our agreement you will give from the purchase in the City either 0.6666 mina or 0.5 mina per mina to the merchant. Then, you will personally give 4 minas of silver, its import duty added, its transport tariff paid for, to me, on behalf of the merchant, and then I shall personally be the merchant; when I come up (to Anatolia) from the City I shall give it to you. My dear brother, give whatever silver and purchases you will deposit to my representatives. Also, you must personally send me 4 minas of silver, its import duty added, its transport tariff paid for, and whatever silver you give to me I shall personally give to you in this way when I come up. To my representatives: If he gives you purchased goods, do not receive them but send me word.",lexicon_variant
